StockCode,Description,Reference_Month,Current_Price,New_Price,Price_Change_Pct,Historical_3M_Avg_Quantity,Previous_Quantity,Raw_Model_Quantity,Predicted_Quantity,Predicted_Revenue,Revenue_Change,Revenue_Change_Pct
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.06,0.0,5030.67,5678.0,4363.21,4363.21,8985.1,0.0,0.0
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.27,10.0,5030.67,5678.0,3472.09,3472.09,7865.02,-1120.09,-12.47
85099B,JUMBO BAG RED RETROSPOT,2011-12-01,2.06,2.47,20.0,5030.67,5678.0,3343.29,3343.29,8261.76,-723.35,-8.05
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,1.67,1.33,-20.0,3623.0,5190.0,5359.89,5359.89,7148.56,-959.67,-11.84
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,1.67,1.5,-10.0,3623.0,5190.0,5270.25,5270.25,7907.63,-200.6,-2.47
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,1.67,1.67,0.0,3623.0,5190.0,4863.55,4863.55,8108.23,0.0,0.0
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,1.67,1.83,10.0,3623.0,5190.0,3754.85,3754.85,6885.86,-1222.37,-15.08
84879,ASSORTED COLOUR BIRD ORNAMENT,2011-12-01,1.67,2.0,20.0,3623.0,5190.0,3368.83,3368.83,6739.59,-1368.64,-16.88
47566,PARTY BUNTING,2011-12-01,4.95,3.96,-20.0,758.0,821.0,2076.54,2076.54,8223.08,5338.75,185.09
47566,PARTY BUNTING,2011-12-01,4.95,4.46,-10.0,758.0,821.0,1992.89,1992.89,8878.31,5993.98,207.81
47566,PARTY BUNTING,2011-12-01,4.95,4.95,0.0,758.0,821.0,582.69,582.69,2884.33,0.0,0.0
47566,PARTY BUNTING,2011-12-01,4.95,5.44,10.0,758.0,821.0,366.06,366.06,1993.2,-891.13,-30.9
47566,PARTY BUNTING,2011-12-01,4.95,5.94,20.0,758.0,821.0,316.14,316.14,1877.88,-1006.45,-34.89
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-01,2.93,2.34,-20.0,3742.0,5919.0,3931.17,3931.17,9206.19,-1232.67,-11.81
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-01,2.93,2.63,-10.0,3742.0,5919.0,3843.53,3843.53,10126.08,-312.78,-3.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-01,2.93,2.93,0.0,3742.0,5919.0,3566.03,3566.03,10438.86,0.0,0.0
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-01,2.93,3.22,10.0,3742.0,5919.0,2885.61,2885.61,9291.78,-1147.09,-10.99
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2011-12-01,2.93,3.51,20.0,3742.0,5919.0,2719.76,2719.76,9553.89,-884.97,-8.48
79321,CHILLI LIGHTS,2011-12-01,5.84,4.67,-20.0,1123.33,1957.0,2668.52,2668.52,12461.73,3709.95,42.39
79321,CHILLI LIGHTS,2011-12-01,5.84,5.25,-10.0,1123.33,1957.0,2584.87,2584.87,13579.98,4828.2,55.17
79321,CHILLI LIGHTS,2011-12-01,5.84,5.84,0.0,1123.33,1957.0,1499.27,1499.27,8751.78,0.0,0.0
79321,CHILLI LIGHTS,2011-12-01,5.84,6.42,10.0,1123.33,1957.0,939.74,939.74,6034.15,-2717.62,-31.05
79321,CHILLI LIGHTS,2011-12-01,5.84,7.0,20.0,1123.33,1957.0,751.51,751.51,5264.2,-3487.58,-39.85
21137,BLACK RECORD COVER FRAME,2011-12-01,3.76,3.0,-20.0,1167.0,2174.0,2485.78,2485.78,7467.27,743.26,11.05
21137,BLACK RECORD COVER FRAME,2011-12-01,3.76,3.38,-10.0,1167.0,2174.0,2818.83,2818.83,9526.25,2802.25,41.68
21137,BLACK RECORD COVER FRAME,2011-12-01,3.76,3.76,0.0,1167.0,2174.0,1790.68,1790.68,6724.01,0.0,0.0
21137,BLACK RECORD COVER FRAME,2011-12-01,3.76,4.13,10.0,1167.0,2174.0,1109.34,1109.34,4582.13,-2141.88,-31.85
21137,BLACK RECORD COVER FRAME,2011-12-01,3.76,4.51,20.0,1167.0,2174.0,821.12,821.12,3699.99,-3024.02,-44.97
85099F,JUMBO BAG STRAWBERRY,2011-12-01,2.04,1.63,-20.0,1367.67,890.0,1598.91,1598.91,2611.13,988.79,60.95
85099F,JUMBO BAG STRAWBERRY,2011-12-01,2.04,1.84,-10.0,1367.67,890.0,1509.27,1509.27,2772.83,1150.5,70.92
85099F,JUMBO BAG STRAWBERRY,2011-12-01,2.04,2.04,0.0,1367.67,890.0,794.74,794.74,1622.34,0.0,0.0
85099F,JUMBO BAG STRAWBERRY,2011-12-01,2.04,2.25,10.0,1367.67,890.0,603.45,603.45,1355.02,-267.32,-16.48
85099F,JUMBO BAG STRAWBERRY,2011-12-01,2.04,2.45,20.0,1367.67,890.0,504.59,504.59,1236.05,-386.29,-23.81
82484,WOOD BLACK BOARD ANT WHITE FINISH,2011-12-01,7.51,6.01,-20.0,382.67,358.0,675.84,675.84,4060.81,2121.72,109.42
82484,WOOD BLACK BOARD ANT WHITE FINISH,2011-12-01,7.51,6.76,-10.0,382.67,358.0,683.22,683.22,4618.33,2679.24,138.17
82484,WOOD BLACK BOARD ANT WHITE FINISH,2011-12-01,7.51,7.51,0.0,382.67,358.0,258.18,258.18,1939.09,0.0,0.0
82484,WOOD BLACK BOARD ANT WHITE FINISH,2011-12-01,7.51,8.26,10.0,382.67,358.0,206.65,206.65,1707.32,-231.77,-11.95
82484,WOOD BLACK BOARD ANT WHITE FINISH,2011-12-01,7.51,9.01,20.0,382.67,358.0,183.86,183.86,1657.12,-281.97,-14.54
